id	type	x	y	z	theta	gyokaku
1	wid	30	73.5	23.84819	11.61239	0
2	spot	90	73.5	30.57415	34.83717	79.85009
3	spot	150	73.5	27.19828	34.51323	124.9827
4	wid	150	73.5	39.8689	17.113	43.3968
5	spot	150	73.5	79.97377	35.44835	0
6	spot	150	73.5	94.13712	37.28188	243.022
7	spot	90	73.5	86.902	36.05952	270.796
8	spot	60	73.5	90.22586	40.94896	248.2296
9	spot	30	73.5	74.29438	30.55892	168.3795
10	spot	30	73.5	93.90069	29.33657	192.6817
11	spot	-30	73.5	89.93367	9.778857	0
12	spot	-60	73.5	93.24489	32.06852	276.0036
13	spot	-120	73.5	87.78293	39.7266	288.1547
14	wid	-90	73.5	97.76182	12.22357	185.7382
15	wid	-150	73.5	82.96409	0	0
16	spot	-150	73.5	90.67833	33.61481	190.9459
17	spot	-150	73.5	56.8416	31.78127	178.7948
18	spot	-150	73.5	25.01946	33.00364	67.69897
19	wid	-60	73.5	29.82921	22.00243	95.47295
20	wid	-90	73.5	26.52785	25.66949	216.984
21	spot	-90	73.5	34.49389	23.22478	256.909
22	wid	60	73.5	25.27898	17.113	163.1719
