ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/Greeting/Greeting.png	72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	35.96654	-10.626	0.2	4	Wooden_thin	-1:-1	0
2	./Images/Kawaii/thumb_c_08597.jpg	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	8.333129	-10.9725	0.2	1	Wooden_thin	-1:-1	1
4	./Images/Kawaii/thumb_c_06528.jpg	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-35.09606	-11.2245	0.2	3	Wooden_thin2	-1:-1	3
6	./Images/Kawaii English PNG/Kawaii English-01.png	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-6.345718	-10.81499	0.2	1.4	none(caption)	-1:-1	5
9	./Images/Kawaii English PNG/Kawaii English-18.png	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-59.68562	-11.067	0.2	1.4	none(caption)	-1:-1	8
10	./Images/Kawaii English PNG/Kawaii English.png	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	29.23278	-10.97249	0.2	2	none(caption)	-1:-1	9
15	./Images/Kawaii/thumb_c_08584.jpg	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	-14.64647	-8.420998	0.2	1	WoodenBlack	-1:-1	15
16	./Images/Kawaii/thumb_c_08593.jpg	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	21.57817	-10.563	0.2	1	Wooden_thin	-1:-1	16
17	./Images/Kawaii/thumb_c_08594.jpg	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	49.51814	-7.539	0.2	1	Wooden_thin	-1:-1	17
19	./Images/Kawaii English PNG/Kawaii English-02.png	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	35.80943	-10.689	0.2	1.4	none(caption)	-1:-1	19
20	./Images/Kawaii English PNG/Kawaii English-03.png	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	7.447181	-10.689	0.2	1.4	none(caption)	-1:-1	20
21	./Images/Kawaii English PNG/Kawaii English-05.png	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	-28.54284	-11.4135	0.2	1.4	none(caption)	-1:-1	21
22	./Images/Kawaii/thumb_c_09736.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	143.832	-6.404991	0.2	1	Wooden_thin	-1:-1	24
23	./Images/Kawaii/thumb_c_09729.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	98.19878	-6.656998	0.2	1	Wooden_thin	-1:-1	25
24	./Images/Kawaii/thumb_c_08581.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	52.02249	-5.522998	0.2	1	Wooden_thin	-1:-1	26
