id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-2.080458,6.75,-24.37401	0,0,0.9999872		5.52253
2	3	1		-0.7813578,6.800864,4.642843	0.3560903,0,0.9344516		5.37253
3	4	2		20.82506,7.818725,30.1	0.9239478,0,0.3825185		4.222536
4	5	3		36.96727,7.467832,23.10628	0.7482592,0,-0.6634065		5.722538
5	6	4		37.74094,8.860915,31.07488	-0.01065237,0,-0.9999433		0.472537
6	7	5		68.23604,8.860915,17.42455	-0.01065237,0,-0.9999433		0.472537
7	8	6		90.26712,8.860915,21.85456	-0.01065237,0,-0.9999433		0.472537
8	9	7		105.4849,8.425474,12.3627	-0.02635748,0,-0.9996526		1.972537
9	10	8		137.1362,8.425474,26.17321	-0.02635748,0,-0.9996526		1.972537
10	11	9		156.7072,7.972612,11.01213	0.01553185,0,-0.9998794		3.622538
11	12	10		148.7084,8.728951,16.12028	0.9997265,0,0.02338356		0.9225373
12	13	11		166.701,8.256565,25.86235	0.9999678,0,0		2.572538
13	14	12		146.8285,8.256565,40.00967	0.9999678,0,0		2.572538
14	15	13		165.6045,8.256565,53.84388	0.9999678,0,0		2.572538
15	16	14		143.743,9.037542,80.13659	0.9993219,0,-0.03682005		-0.1274719
16	17	15		162.1967,8.173764,73.94393	0.9999433,0,-0.01064885		2.872537
17	18	16		162.375,8.215013,89.90385	0.9999706,0,0		2.722538
18	19	17		136.5632,10.01556,95.34174	-0.02861712,0,0.9995905		-3.577454
19	20	18		125.2289,7.856549,107.0983	0,0,0.9999705		4.07254
20	21	19		97.29407,9.301702,96.81284	0.0289697,0,0.9995803		-1.027466
21	22	20		80.64595,7.933508,109.2658	0,0,0.9999678		3.772541
22	23	21		45.94802,7.972611,95.42688	0.0185004,0,0.9998289		3.622541
23	24	22		36.22644,8.092237,109.5837	0,0,0.9999853		3.17254
24	25	23		32.99983,7.467831,82.36757	-0.9999874,0,0		5.72254
25	26	24		10.50421,6.75,92.52618	-0.99749,0,0.07080734		44.2725
26	27	25		3.658008,8.215025,99.34122	-0.9984993,0,-0.05476558		2.722494
27	28	26		10.21056,6.75,77.3224	-0.9999677,0,0		48.62249
28	29	27		1.672739,7.972625,73.16914	-0.9999118,0,0.01327628		3.622487
29	30	28		0.5424526,8.641484,19.47239	-0.3212662,0,0.9469889		1.222482
30	31	29		-57.70058,8.382889,40.24864	0.63958,0,0.7687246		2.122482
31	32	30		-54.93587,6.75,91.97366	0.9997267,0,0.02337968		15.02248
32	33	31		-34.97658,6.75,85.02739	0.9995123,0,0.0312283		50.42247
33	34	32		-25.66346,8.132856,85.07101	0.9991153,0,-0.04205596		3.022457
34	35	33		-35.79481,6.75,100.6842	0.9999854,0,0		50.42245
35	36	34		-23.36906,8.052016,99.22566	0.9988983,0,0.04692662		3.322448
36	37	35		-61.62308,8.511349,86.14157	0.01850517,0,0.9998288		1.672448
37	38	36		-80.57436,8.511349,105.8164	0.01850517,0,0.9998288		1.672448
38	39	37		-109.6208,8.511349,84.36926	0.01850517,0,0.9998288		1.672448
39	40	38		-132.5277,8.511349,106.7841	0.01850517,0,0.9998288		1.672448
40	41	39		-118.9197,8.728977,76.39558	-0.9978707,0,-0.06522262		0.9224475
41	42	40		-155.3968,8.728977,95.77666	-0.9999167,0,-0.01290858		0.9224478
42	43	41		-164.4014,8.298428,78.36505	-0.999222,0,0.03944033		2.422447
43	44	42		-153.1229,8.298428,53.93342	-0.999222,0,0.03944033		2.422447
44	45	43		-164.4557,8.298428,37.04723	-0.999222,0,0.03944033		2.422447
45	46	44		-140.2442,8.092262,19.67138	0.9983523,0,0.05738294		3.172446
46	47	45		-100.9283,7.078114,13.74877	-0.2687451,0,0.9632113		7.822452
47	48	46		-81.70711,7.175834,20.8046	-0.5466809,0,0.837341		7.222452
48	49	47		-50.17585,7.46785,51.51978	-0.9417034,0,0.3364442		5.722451
49	50	48		-71.16295,8.554564,79.05382	-0.8344668,0,-0.5510583		1.52245
50	51	49		-25.29202,7.228952,31.71952	-0.9868267,0,0.1617811		6.92245
51	52	50		-135.5891,8.468322,15.30347	0,0,-0.9999855		1.822448
52	53	51		-62.07678,8.468322,58.86933	0,0,-0.9999855		1.822448
53	54	52		-0.729862,10.16998,5.16329	-0.8525451,0,0.5226537		-4.177551
54	-1	53		-12.70776,9.561707,23.39979	0.8513662,0,0.5245719		-1.927551
